symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
FORTHUSD,0.00000000,0.000,0.00000000,2.22500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750221451,1687836621451,-1,-1,0
ASTRUSD,-0.00220000,-4.681,0.04022913,0.04410000,0.04480000,25.60000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04700000,0.04700000,0.03920000,1239.00000000,49.84389000,1687750398838,1687836798838,37421,37427,7
BTRSTUSD,-0.01000000,-1.927,0.51591263,0.51600000,0.50900000,95.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.51900000,0.51900000,0.50900000,4871.20000000,2513.11360000,1687750225501,1687836625501,13995,14004,10
GALUSD,0.00000000,0.000,1.26000000,1.26000000,1.26000000,63.64800000,0.00000000,0.00000000,0.00000000,0.00000000,1.26000000,1.26000000,1.26000000,63.64800000,80.19648000,1687750239709,1687836639709,9814,9816,3
SANDUSD,-0.01790000,-4.108,0.42544466,0.41110000,0.41780000,27.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.43570000,0.44340000,0.41330000,19426.00000000,8264.68800000,1687750475615,1687836875615,87778,87928,151
BALUSD,0.00000000,0.000,4.85900000,4.85800000,4.85900000,15.87000000,0.00000000,0.00000000,0.00000000,0.00000000,4.85900000,4.85900000,4.85900000,15.87000000,77.11233000,1687750276273,1687836676273,10042,10042,1
POLYXUSD,0.00000000,0.000,0.10008283,0.13290000,0.10000000,1104.60000000,0.00000000,0.00000000,0.00000000,0.00000000,0.10000000,0.10830000,0.10000000,1132.30000000,113.32379000,1687750337447,1687836737447,34379,34381,3
GLMUSD,0.00000000,0.000,0.18460000,0.19670000,0.18460000,325.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18460000,0.18460000,0.18460000,325.10000000,60.01346000,1687750219421,1687836619421,5024,5025,2
CLVUSD,0.00000000,0.000,0.00000000,0.04800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750302719,1687836702719,-1,-1,0
TUSDUSD,0.07230000,7.589,0.99489975,1.02500000,1.02500000,26.60000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95270000,1.02500000,0.95270000,81.10000000,80.68637000,1687750405063,1687836805063,48690,48703,14
